name,fclass,geometry
St. Francis Domiciliary Center,doctors,POINT (32.6475698 0.3022239)
Barclays,atm,POINT (32.6474928 0.301339)
Afford Pharmacy,pharmacy,POINT (32.6465761 0.3020059)
Keb Mirembe Clinic,doctors,POINT (32.646329 0.3021605)
Progressive Junior School,school,POINT (32.6448055 0.3014037)
BR Healthcare Clinic,doctors,POINT (32.6444402 0.3020639)
Happy Hour Infant School,school,POINT (32.6443339 0.3027693)
Stanbic Bank,atm,POINT (32.6440241 0.303812)
Dade Nursery School,kindergarten,POINT (32.6425834 0.3078013)
Rite Aid Ltd Pharmacy,pharmacy,POINT (32.6406902 0.3079717)
Capital Medical Clinic,doctors,POINT (32.6407141 0.3079575)
Progressive S.S. Kitintale,school,POINT (32.6390167 0.3084598)
Ntinda Nursery School,school,POINT (32.6159523 0.3511471)
Nobe Restaurant & Takeaway,fast_food,POINT (32.6178294 0.3515701)
Kitintale Police Post,police,POINT (32.6393174 0.3090873)
ProFam - The Family Clinic,doctors,POINT (32.6374997 0.3108178)
Country Gardens,restaurant,POINT (32.6375919 0.3109603)
Eagle Wing Daycare,kindergarten,POINT (32.6373635 0.3114766)
Senteza Primary,school,POINT (32.6375202 0.3116884)
Parriet Prep School,school,POINT (32.6348352 0.3071971)
Polah Medical Centre,doctors,POINT (32.634309 0.3089769)
Rwambuga Clinic & Maternity,doctors,POINT (32.6343533 0.310718)
Trinity Medical Centre,doctors,POINT (32.6344461 0.311942)
Law & Joy Primary School - Kitintale,school,POINT (32.6345776 0.3134819)
DTB,bank,POINT (32.6350196 0.3142465)
St. Johns Junior School,school,POINT (32.6365211 0.3147628)
Cuddles Daycare,kindergarten,POINT (32.628568 0.3182587)
Greenhill Academy,school,POINT (32.5995158 0.3116979)
,pharmacy,POINT (32.6014791 0.3053097)
Barclays,bank,POINT (32.4611191 0.0547536)
Freshmind Junior School,school,POINT (32.6487873 0.316027)
Aggie Pharmacy,pharmacy,POINT (32.6006585 0.307204)
Montessori Integrated School,school,POINT (32.6127764 0.3003952)
,doctors,POINT (32.601676 0.3042397)
Miami Club,restaurant,POINT (32.618825 0.2923098)
Prian Pharmaceutical Limited,pharmacy,POINT (32.6008381 0.298358)
Cafe Cheri,restaurant,POINT (32.6017958 0.2985471)
77th Happiness Chinese Resturant,restaurant,POINT (32.6019493 0.2988039)
I feel like Chicken Tonight,restaurant,POINT (32.6028562 0.2987453)
Food Palace Resturant & Cafe,restaurant,POINT (32.6019905 0.3020099)
