name,fclass,geometry
Mpunde Muslim Primary School,school,POINT (33.32568 1.1314845)
Mwanga Primary School,school,POINT (33.3946109 1.0777475)
Nabbuku Nursery School,school,POINT (33.2971856 1.2254781)
Nabitula Light Primary School,school,POINT (33.2754599 1.0594516)
Nabitula Primary School,school,POINT (33.2739928 1.0747623)
Nakalongo Nursery School,school,POINT (33.3831084 1.1919707)
Naloose Primary School,school,POINT (33.2437741 1.1254346)
New Hope Primary School,school,POINT (33.3735636 1.2152229)
Ngole Primary School,school,POINT (33.2837764 1.2183937)
Niru Primary School,school,POINT (33.330914 1.2067741)
Nsamule Primary School,school,POINT (33.3715926 1.0705618)
Nsomba Primary School,school,POINT (33.30209 1.1800907)
Rise and Shine Nursery Primary School,school,POINT (33.2394988 1.149735)
Saint Benedict's Nursery,school,POINT (33.3637999 1.2223701)
Saint Patrick Nursery and Primary School,school,POINT (33.3721824 1.1044953)
Saint Paul Junior School,school,POINT (33.2254071 1.0776843)
Saint Paul Nursery and Primary School,school,POINT (33.2908678 1.1114979)
Saint Peter Secondary School,school,POINT (33.2640356 1.1128333)
Sharp Children Center Nursery Primary School,school,POINT (33.2342781 1.0546941)
Kitgum Matidi Seed Secondary School,school,POINT (33.0433717 3.2686237)
Lapana Primary School,school,POINT (33.0110676 3.3326348)
Layamo Primary School,school,POINT (33.0451352 3.2679622)
Onyaa Primary School,school,POINT (33.0010711 3.2816524)
Paibony Primary School,school,POINT (33.0333741 3.3143423)
,school,POINT (32.9858385 3.2927118)
Anyomorem Primary School,school,POINT (32.8869114 2.3126518)
Unity College,school,POINT (32.907628 2.2981016)
Bagaya Primary School,school,POINT (30.1883858 0.6868232)
Burungu Primary School,school,POINT (30.2302989 0.6285522)
Bishop Balya Theological College,school,POINT (30.2058797 0.6712816)
Buhara Christian Nursery School,kindergarten,POINT (30.2290498 0.6901528)
Buhara Primary School,school,POINT (30.230635 0.7006351)
Bukuuku Community Secondary School,school,POINT (30.1956759 0.6787147)
Bukuuku Primary School,school,POINT (30.2056285 0.6700446)
Busoma Early Childhood Learning Centre,school,POINT (30.1807571 0.6795328)
Canon Apollo Core Primary Teachers College,school,POINT (30.2189104 0.67694)
Canon Apollo Demostration Primary School,school,POINT (30.2119137 0.6760665)
Hillside Nursery School,kindergarten,POINT (30.2160814 0.6673235)
Ibonde Early Child Learning Centre,school,POINT (30.2258626 0.662745)
Kaboyo Primary School,school,POINT (30.206074 0.6221564)
Kaboyo Secondary School,school,POINT (30.2058137 0.622673)
Kagogo Early Childhood Education Centre,school,POINT (30.2148952 0.6963979)
Kaguma Nursery School,kindergarten,POINT (30.2098074 0.7013944)
Kamabale Primary School,school,POINT (30.1576128 0.6328916)
Karangura Child Development Centre,school,POINT (30.1500553 0.6207853)
Kazingo Primary School,school,POINT (30.1695663 0.6544988)
Kazingo Seventh-day Adventist Primary School,school,POINT (30.174572 0.6593961)
Kiguma Primary School,school,POINT (30.2156052 0.6438952)
Kikura Nursery School,kindergarten,POINT (30.1988639 0.6859326)
Kinyankende Primary School,school,POINT (30.1592195 0.6165653)
Kitaraga Primary School,school,POINT (30.1931646 0.6905576)
Kitoogo Farm Nursery & Primary School,school,POINT (30.2186517 0.6706534)
Kyanduuru Early Childhood Development Centre,school,POINT (30.2258019 0.6198601)
Mahyoro Nursery School,kindergarten,POINT (30.1799481 0.7037515)
Mariana Nursery School,kindergarten,POINT (30.2317589 0.6416382)
Mt Gessi Primary School,school,POINT (30.1494344 0.6605369)
Nyakasura Juniour Primary School,school,POINT (30.2231668 0.6699343)
Nyakasura Secondary School,school,POINT (30.2204929 0.671384)
Nyarukamba Primary School,school,POINT (30.161835 0.6541725)
Rift Valley Ecological Farm Institute,school,POINT (30.1937866 0.6818334)
Star Nursery School,kindergarten,POINT (30.1987326 0.6753793)
Stemmanuel Primary School,school,POINT (30.1601923 0.6393706)
Saint Joseph Secondary School,school,POINT (30.1595954 0.6397899)
Saint Kizito Nursery School,kindergarten,POINT (30.1990724 0.6745222)
Saint Kizito Primary School,school,POINT (30.1955558 0.6801913)
Akworo Secondary School,school,POINT (32.9148119 3.2404662)
Dure Primary School,school,POINT (32.9278871 3.2050738)
Latayi Primary School,school,POINT (32.9532172 3.1709802)
Lukwor North Primary School,school,POINT (32.9011678 3.1855742)
Lukwor Primary School,school,POINT (32.9499907 3.2860448)
Opette Primary School,school,POINT (32.9241919 3.2609309)
Putuke Primary School,school,POINT (32.9583235 3.2700213)
Abunga Primary School,school,POINT (33.0442578 2.2968592)
Akor Primary School,school,POINT (32.9772262 2.3451722)
Bishop's Nursery and Primary School,school,POINT (33.0454574 2.295444)
Caaerol Nursery School,kindergarten,POINT (33.0114198 2.3382273)
Early Child Development Centre,kindergarten,POINT (33.0259112 2.3527359)
Iwal Primary School,school,POINT (32.9952559 2.3091049)
Lwala Central Nursery School,kindergarten,POINT (33.0123241 2.3241641)
New Hope Nursery and Primary School,school,POINT (32.9853032 2.2994735)
Obim Primary School,school,POINT (32.993346 2.3698116)
Orupu Primary School,school,POINT (33.0105786 2.3343689)
Primary School,school,POINT (33.0282321 2.3142744)
Saint James Nursery School,kindergarten,POINT (32.9929034 2.369136)
Saint Mathew Green Light Nursery School,school,POINT (32.9949191 2.3098701)
Telela Primary School,school,POINT (33.045219 2.3599642)
Abari Primary School,school,POINT (32.6305115 2.2218348)
National Instructors' College Abilonino,school,POINT (32.6490517 2.2286839)
Abilonino Trinity College School,school,POINT (32.6474892 2.2291242)
Abolo Primary School,school,POINT (32.5760615 2.1774874)
Abur Nursery School,kindergarten,POINT (32.612744 2.2183035)
Abur Primary School,school,POINT (32.6143903 2.2172404)
Ager Seed Secondary School,school,POINT (32.680924 2.2248858)
Agomi Primary School,school,POINT (32.5381823 2.1762601)
Aibilonino Primary School,school,POINT (32.6467253 2.2273262)
Akaidebe Nursery School,kindergarten,POINT (32.5849382 2.1945828)
Aluktok Primary School,school,POINT (32.5352373 2.2169924)
Amambale Primary School,school,POINT (32.6758578 2.1171478)
Amoladyang Vocational Training,school,POINT (32.6771053 2.1445283)
Aninola Primary School,school,POINT (32.6485091 2.1096646)
Anoto Ocao Primary School,school,POINT (32.5207617 2.1518945)
Aparango Nursery School,kindergarten,POINT (32.6690568 2.1607612)
Aumi Primary School,school,POINT (32.6804294 2.1817356)
Ayor Memorial Primary School,school,POINT (32.6393016 2.1750912)
Barodilo Primary School,school,POINT (32.5609931 2.1535363)
Bishop Luwum Primary School,school,POINT (32.6660091 2.2431497)
Chegere Anex Primary School,school,POINT (32.5265099 2.1100543)
Damatira Primary School,school,POINT (32.674951 2.1448427)
Integrity Nursery School,kindergarten,POINT (32.6839878 2.2832674)
Iyanyi Primary School,school,POINT (32.5800179 2.2711554)
Loro Army Primary School,school,POINT (32.5366528 2.2685402)
Loro Model Primary School,school,POINT (32.524933 2.2629359)
Loro Primary School,school,POINT (32.5363258 2.2357231)
Loro Secondary School,school,POINT (32.5333927 2.2402818)
Loro Vocational Institute,school,POINT (32.5360546 2.2326704)
Ocodonyor Nursery School,kindergarten,POINT (32.650817 2.1442587)
Okole Primary School,school,POINT (32.6815346 2.2764879)
Okutagwe Primary School,school,POINT (32.6017156 2.1256555)
Ololango Primary School,school,POINT (32.6197558 2.1510265)
Te-Kidi Primary School,school,POINT (32.6842798 2.2261847)
Teboke Nursery School,kindergarten,POINT (32.5862851 2.1973593)
Teboke Primary School,school,POINT (32.5886284 2.1997332)
The Nile Valley Agro-Tech Academy,school,POINT (32.6822749 2.2743851)
All Saints Primary School,school,POINT (31.6098932 -0.5364969)
Alliance Secondary School,school,POINT (31.622517 -0.5375746)
Apex Junior School,school,POINT (31.5189833 -0.6853509)
Banda Primary School,school,POINT (31.5797227 -0.6672519)
Baseessa Nursery School,kindergarten,POINT (31.5529334 -0.57912)
Bbaale Primary School,school,POINT (31.6311583 -0.5869403)
Bethlehem Parents Primary School,school,POINT (31.4685752 -0.5828654)
Bikira Demonstration Primary School,school,POINT (31.5691395 -0.6279954)
Brain Trust Primary School,school,POINT (31.6023294 -0.5853055)
Bright Future Nursery and Primary School,school,POINT (31.5460898 -0.6334278)
Bright Trust Junior Academy,kindergarten,POINT (31.5463969 -0.6332041)
Bulyana Care Unit Nursery School,kindergarten,POINT (31.4952813 -0.5396947)
Buyinji Roman Catholic Church Primary School,school,POINT (31.5215165 -0.5952602)
Buziranduulu Roman Catholic Church Primary School,school,POINT (31.5515831 -0.5818021)
Child Development Centre,kindergarten,POINT (31.6183771 -0.5282055)
Christ The King Secondary School,school,POINT (31.6189087 -0.5446663)
Devine Mercy High School,school,POINT (31.528851 -0.641948)
Esther's School Uganda Primary School,school,POINT (31.4811439 -0.6685741)
Forena Secondary School,school,POINT (31.530746 -0.6246753)
Grace Primary School,school,POINT (31.5397842 -0.6194895)
Greater Horizon Nursery and Primary School,school,POINT (31.6233832 -0.5370122)
Green Valley Primary School,school,POINT (31.5514139 -0.6345686)
Happy Times Nursery School,kindergarten,POINT (31.5146031 -0.6110836)
Harvest Day Care,kindergarten,POINT (31.5796481 -0.5572523)
Harvest Nursery and Primary School,school,POINT (31.5786429 -0.5488108)
Holy Trinity Primary School,school,POINT (31.5946281 -0.544053)
Home Life Primary School,school,POINT (31.5974907 -0.6948884)
Homeland College Kyotera,school,POINT (31.5499758 -0.5780436)
Hope Nursery School,kindergarten,POINT (31.5128718 -0.5771513)
Institute Of Accountants and Vocational School,school,POINT (31.5427544 -0.6215545)
Islamic Green Hill Nursery School,kindergarten,POINT (31.5137147 -0.5698407)
Islamic Primary School,school,POINT (31.5442665 -0.6290924)
Jauharah Islamic Primary School,school,POINT (31.4668519 -0.6701574)
Jpm Impact Nursery School,kindergarten,POINT (31.5455537 -0.6294829)
Kabaseke Nursery and Primary School,school,POINT (31.5323422 -0.6149742)
Kabira Secondary School,school,POINT (31.6296964 -0.6692147)
Kakoma Integrated School/Institute,school,POINT (31.4722632 -0.6919978)
Kakoma Primary School,school,POINT (31.4738622 -0.6894101)
Kakoma Secondary,school,POINT (31.4734773 -0.6876547)
Kalangala Orphanage Centre,school,POINT (31.6269491 -0.5568317)
Kalangala Primary School,school,POINT (31.6307612 -0.5634128)
Kalisizo Community Secondary and Vocational College,school,POINT (31.6322802 -0.5460059)
Kalisizo Parents Primary School,school,POINT (31.6245402 -0.5302994)
Kalisizo Umea Primary School,school,POINT (31.6185197 -0.5329566)
Kalisizo Vocational Secondary School,school,POINT (31.6188326 -0.5314002)
Kalongo Primary School,school,POINT (31.5806522 -0.5275774)
Kamengo Primary School,school,POINT (31.4650438 -0.6808604)
Bukamba Primary School,school,POINT (33.4068754 1.1435956)
Buluya Parents Primary School,school,POINT (33.4042099 1.0581495)
Bupyana Primary School,school,POINT (33.4993132 1.0634871)
Butambala Primary School,school,POINT (33.4753504 1.0837248)
Buvulunguti Nursery School,kindergarten,POINT (33.4160529 1.1747694)
Buyuge Primary School,school,POINT (33.4930242 1.1080341)
Buyuge Town College,school,POINT (33.4992256 1.1080546)
Buzinge Nursery School,kindergarten,POINT (33.4104287 1.1997132)
Direct Infant School,kindergarten,POINT (33.4810489 1.0707949)
Gadumire Senior Secondary School,school,POINT (33.5374832 1.1110035)
Isalo Primary School,school,POINT (33.4846819 1.1129936)
Kamutaka Primary School,school,POINT (33.5672613 1.1574989)
Kanabugo Primary School,school,POINT (33.5360882 1.0681114)
King of Peace Primary School,school,POINT (33.5535187 1.092916)
Kisanga Nursery School,kindergarten,POINT (33.4551864 1.1991716)
Kisinda Modern Primary School,school,POINT (33.5234844 1.1518044)
Kisinda Primary School,school,POINT (33.528347 1.1496594)
Kyanfuba Primary School,school,POINT (33.4545334 1.0741637)
Lubuulo Primary School,school,POINT (33.5622434 1.1369129)
Lwamba Nursery School,kindergarten,POINT (33.4073603 1.1537638)
Lwamboga Nursery School,kindergarten,POINT (33.5590853 1.1202526)
Mpambwa Nursery School,kindergarten,POINT (33.5408763 1.1282346)
Nakabuko Primary School,school,POINT (33.5236177 1.175261)
Namawa Seventh-day Adventist Nursery and Primary School,school,POINT (33.4159344 1.111116)
Namulungu Primary School,school,POINT (33.5542124 1.1077951)
Namuntu Primary School,school,POINT (33.5395129 1.1650131)
Namwiwa Primary School,school,POINT (33.5526597 1.0864015)
Namwiwa Secondary School,school,POINT (33.550598 1.0830671)
Nangala Parent's Primary School,school,POINT (33.4174755 1.1808827)
Nangala Primary School,school,POINT (33.4121396 1.1938429)
Nawaikoke Light Secondary School,school,POINT (33.4136274 1.0842181)
Nawaikoke Primary School,school,POINT (33.4041723 1.0918984)
Panyolo Primary School,school,POINT (33.4955298 1.1356809)
Primary School,school,POINT (33.56509 1.0670673)
Primary School,school,POINT (33.5431394 1.1671273)
Rainbow Nursery School,kindergarten,POINT (33.4085582 1.1519777)
Saint Lwanga Secondary School,school,POINT (33.4180503 1.1733559)
Saint Thereza Kanambatiko Primary School,school,POINT (33.5370605 1.0552883)
Wangobo Primary School,school,POINT (33.5232887 1.0855544)
Kamengo Technical Institute,school,POINT (31.4664924 -0.6791872)
Kasambya II Primary School,school,POINT (31.4868942 -0.592987)
Katana Nursery School,kindergarten,POINT (31.5358073 -0.5604629)
Kayunga Muslim Primary School,school,POINT (31.5695549 -0.5724356)
Kibonzi Primary School,school,POINT (31.4736977 -0.5556702)
Kids Care Kindergarten Day and Care School,kindergarten,POINT (31.5411885 -0.6326697)
Kifukamiza Primary School,school,POINT (31.5567931 -0.6011192)
Kikungwe Church of Uganda Primary School,school,POINT (31.5895941 -0.535739)
Kirejja Church of Uganda Primary School,school,POINT (31.5346636 -0.5626942)
Kirembwe Red Cross Primary School,school,POINT (31.5416146 -0.5661483)
Kirinda Primary School,school,POINT (31.6001846 -0.5718735)
Kisubi Nursery,kindergarten,POINT (31.5602551 -0.6111436)
Kvi Vocational Institute,school,POINT (31.5612255 -0.6110624)
Kyakanyomozi Nursery and Primary School,school,POINT (31.6079928 -0.5999137)
Kyakanyomozi Primary School,school,POINT (31.6078307 -0.5981797)
Kyakonda Roman Catholic Church Primary School,school,POINT (31.5405638 -0.6519781)
Kyakuduse Primary School,school,POINT (31.4902717 -0.6055639)
Kyampagi Primary School,school,POINT (31.5111602 -0.640721)
Kyanika Primary School,school,POINT (31.6139893 -0.6770519)
Kyassimbi Red Cross Primary School,school,POINT (31.4878189 -0.5447156)
Kyingere Primary School,school,POINT (31.5982862 -0.6901813)
Kyotera Central Boarding Primary School,school,POINT (31.5437896 -0.6324552)
Kyotera Central Secondary School,school,POINT (31.5549585 -0.6288953)
Kyotera College of Business Studies,school,POINT (31.5337768 -0.6288907)
Kyotera Day Care School,kindergarten,POINT (31.5426994 -0.6305494)
Kyotera Early Childhood Care and Development,kindergarten,POINT (31.5479229 -0.6333333)
Kyotera Parents Secondary School,school,POINT (31.5480851 -0.6247815)
Kyotera Public Primary School,school,POINT (31.5429985 -0.6303764)
Kyotera Town Secondary School,school,POINT (31.5357215 -0.633162)
Kyotera Township Primary School,school,POINT (31.5485552 -0.6315007)
Kyotrera Infant School,kindergarten,POINT (31.54385 -0.6301149)
Lezekokolima Nursery School,kindergarten,POINT (31.4951986 -0.6686554)
Little Flowers Primary School,school,POINT (31.5261451 -0.5300786)
Mabale Primary School,school,POINT (31.6297482 -0.6670986)
Mbuye Primary School,school,POINT (31.4855407 -0.6871926)
Mick Mary Nursery and Primary School,school,POINT (31.5083957 -0.6342001)
Migongo Primary School,school,POINT (31.4981574 -0.5585093)
Mirambi Nursery School,kindergarten,POINT (31.5753117 -0.5884264)
Mirembe Primary School,school,POINT (31.4759991 -0.5842321)
Miti Public Secondary School,school,POINT (31.6013536 -0.5891927)
Model Junior School,school,POINT (31.545649 -0.6271197)
Nabunga Primary School,school,POINT (31.6209278 -0.5324072)
Nalubira Primary School,school,POINT (31.5077022 -0.576646)
Nalukoola Memo Primary School,school,POINT (31.5998186 -0.5582058)
Ndolo Nursery School,kindergarten,POINT (31.594481 -0.6970892)
Nganda Primary School,school,POINT (31.619043 -0.6508066)
Ngemajjaja Banga Primary School,school,POINT (31.5306294 -0.540698)
Ngoma Roman Catholic Primary School,school,POINT (31.5145281 -0.5321192)
Ngomajjaja Banga Primary School,school,POINT (31.5269529 -0.5337602)
Nkenge Primary School,school,POINT (31.5070167 -0.6115873)
Nsambya Preparatory Primary School,school,POINT (31.5967259 -0.5789337)
Nursery and Primary School,school,POINT (31.5400127 -0.6375446)
Primary School,school,POINT (31.5061651 -0.6372301)
Progressive Secondary School,school,POINT (31.6216298 -0.5398809)
Rakai Primary Teachers College,school,POINT (31.5684195 -0.6280993)
Sacred Heart Kiteredde Secondary School,school,POINT (31.5628175 -0.620717)
Stagnes Vocational School for Orphans and Needy Children,school,POINT (31.5679742 -0.626381)
Stagnes Primary School,school,POINT (31.5999087 -0.5763857)
Standrews Matale Primary School,school,POINT (31.6156147 -0.5296868)
Standrews Secondary School,school,POINT (31.6171967 -0.5284838)
Stanthony Primary School,school,POINT (31.6079293 -0.5339749)
Stapollo Kanono Primary School,school,POINT (31.470531 -0.6593524)
Staugustine Kisuula Primary School,school,POINT (31.5023826 -0.6722453)
Staugustine Nursery and Primary School,school,POINT (31.5455726 -0.5456721)
Saint Balikudembe Primary School,school,POINT (31.6327665 -0.5276287)
Saint Charles Lwanga Kyotera Primary School,school,POINT (31.5385101 -0.6355511)
Saint Charles Lwanga Primary School,school,POINT (31.6196358 -0.536167)
Saint Charles Nursery and Primary School,school,POINT (31.5101627 -0.6866025)
Stedward Primary School,school,POINT (31.6297536 -0.6348771)
Saint Francis of Assisi Nursery and Primary School,school,POINT (31.6381712 -0.5496104)
Saint Gonzaga Primary School,school,POINT (31.5596922 -0.599259)
Saint Henry's Kanyogoga Primary School,school,POINT (31.4732184 -0.5323001)
Saint Henry's Luti Primary School,school,POINT (31.5064922 -0.6365683)
Saint James Muyama Primary School,school,POINT (31.6388118 -0.5675345)
Saint James Secondary School,school,POINT (31.5576175 -0.629252)
Saint John Primary School,school,POINT (31.5454456 -0.6291541)
Saint Joseph Bikira Girls Primary School,school,POINT (31.5706637 -0.6274912)
Saint Joseph Model Junior and Primary School,school,POINT (31.5451397 -0.6338823)
Saint Joseph's Senior Secondary School Kiterede,school,POINT (31.5670391 -0.6230904)
Saint Joseph's Primary School,school,POINT (31.6128368 -0.6461119)
Saint Jude Sefa Nursery and Primary School,school,POINT (31.6166728 -0.5389152)
Saint Kizito Mbuye Kiterede Ronan Catholic Primary School,school,POINT (31.548575 -0.5910072)
Saint Mary's Secondary School,school,POINT (31.48549 -0.6861041)
Saint Mathius Mbuye School,school,POINT (31.4772836 -0.6917444)
Saint Mathius Mbuye Senior Secondary School,school,POINT (31.4775985 -0.6924108)
Saint Matia Mulumba Kazo Primary School,school,POINT (31.5152794 -0.5950116)
Saint Maurice Primary School (rainbow),school,POINT (31.6285597 -0.5333439)
Saint Max Nursery and Primary School,school,POINT (31.5779546 -0.6323723)
Saint Paul Kaaso Primary School,school,POINT (31.6395199 -0.6527542)
Saint Peter's Nsumba Primary School,school,POINT (31.5596815 -0.5376225)
Saint Peter's Primary School,school,POINT (31.5351299 -0.6257857)
Saint Raphael Primary School,school,POINT (31.6183498 -0.5459882)
Saint Satro Nursery School,kindergarten,POINT (31.4862595 -0.6150483)
Saint Vincent Nursery and Primary School,school,POINT (31.4892891 -0.5582033)
Solution Academy Primary School,school,POINT (31.5978697 -0.5743775)
Top Hill Day Boarding Primary School Ssagala,school,POINT (31.5514902 -0.6463677)
Town View Primary School,school,POINT (31.553578 -0.6317437)
Twezimbe Secondary School,school,POINT (31.6151288 -0.647326)
Unique Nursery and Primary School,school,POINT (31.6199531 -0.541299)
Way Technical Centre,school,POINT (31.5418754 -0.6364587)
3h Model Nursery and Primary Care School,school,POINT (31.5403148 -0.631897)
Abdalla Anyuru Memorial College,school,POINT (32.3468637 2.2190231)
Aber Primary School,school,POINT (32.3478676 2.2011413)
Adak Parents Nursery School,kindergarten,POINT (32.3883 2.2207503)
Adigo Primary School,school,POINT (32.4980254 2.1345605)
Adyegi Primary School,school,POINT (32.3664956 2.1106047)
Aleny Primary School,school,POINT (32.3521201 2.2681391)
Alyec Primary School,school,POINT (32.3891322 2.221623)
Atapaera Senior Secondary School,school,POINT (32.3879992 2.2367845)
Atapara Primary School,school,POINT (32.3862826 2.2343291)
Atop Primary School,school,POINT (32.5055503 2.1874833)
Atura Primary School,school,POINT (32.347982 2.1265759)
Ayama Pwono Primary School,school,POINT (32.4571603 2.2049024)
Father Oryang Memorial Primary School,school,POINT (32.4391464 2.2233296)
Loro Technical School,school,POINT (32.4820144 2.2373133)
Ocini Primary School,school,POINT (32.4109433 2.2664045)
Odike Primary School,school,POINT (32.4843903 2.2367374)
Odongo Primary School,school,POINT (32.4718467 2.1117039)
Oyam Progressive Primary School,school,POINT (32.504121 2.2361231)
Oyoe Primary School,school,POINT (32.4375818 2.1815501)
Saint Peter's Secondary School,school,POINT (32.4872048 2.2331024)
Woobalokuc Nusery and Primary School,school,POINT (32.4533863 2.2536848)
Aboke High School,school,POINT (32.6544009 2.3931333)
Aboke Service Station (fuel Pump),school,POINT (32.687611 2.3157827)
Acan Pii Primary School,school,POINT (32.5386364 2.2955017)
Acet Primary School,school,POINT (32.5464167 2.3963121)
Aculubanya Primary School,school,POINT (32.6873824 2.3328509)
Aculubanya Secondary School,school,POINT (32.6880084 2.3302185)
Adili Primary School,school,POINT (32.6864575 2.4273179)
Agobadong Primary School,school,POINT (32.5896093 2.4086749)
Agulurude Primary School,school,POINT (32.6394246 2.2977107)
Akotcwe Primary School,school,POINT (32.5309346 2.4360648)
Akwangi Primary School,school,POINT (32.5916042 2.390997)
Alao Primary School,school,POINT (32.5409981 2.3466988)
Alidi Primary School,school,POINT (32.6127539 2.2886391)
Alyat Primary School,school,POINT (32.6648956 2.3225709)
Amido Primary School,school,POINT (32.5639981 2.3135592)
Angweta Primary School,school,POINT (32.5950464 2.347881)
Aringodyang Primary School,school,POINT (32.6678991 2.4572225)
Aungu Primary School,school,POINT (32.6741642 2.4192822)
Awengwec Primary School,school,POINT (32.627313 2.3346391)
Awio Primary School,school,POINT (32.5941883 2.4530816)
Braaky Nursery and Primary School,school,POINT (32.6849797 2.3443099)
Happy Hours Nursery School,school,POINT (32.6364414 2.4166587)
Iceme Primary School,school,POINT (32.5852283 2.4583561)
Imato Primary School,school,POINT (32.6427849 2.3787886)
Jupiter Community Training Centre and School,school,POINT (32.6834446 2.3157128)
Kulu Opuk Primary School,school,POINT (32.5564746 2.4194733)
Lela Nursery School,school,POINT (32.5972219 2.3253128)
Lela Olok Primary School,school,POINT (32.5658691 2.3611524)
Okello Moma Nursery School,school,POINT (32.6720405 2.3368046)
Oyam Parents Nursery School,school,POINT (32.5443673 2.3963952)
Rossan Trotti Primary School,school,POINT (32.6073078 2.4433369)
Saint Paul Communication Tchinical School,school,POINT (32.5265686 2.3927281)
Wigua Primary School,school,POINT (32.6743602 2.3608578)
Wipip Primary School,school,POINT (32.6846294 2.3935016)
Abedi Primary School,school,POINT (32.4118572 2.0557889)
Abutaber Primary School,school,POINT (32.5142807 2.0619089)
Adem Primary School,school,POINT (32.4642767 2.0679331)
Adir Primary School,school,POINT (32.433096 2.0588762)
Alek Olil Primary School,school,POINT (32.3691644 2.0210382)
Alworoceng Primary School,school,POINT (32.3679475 1.9814547)
Amilo Primary School,school,POINT (32.4451577 1.9619148)
Amokal Primary School,school,POINT (32.4167621 1.9421327)
Anga-Yiki Primary School,school,POINT (32.5182859 1.9352438)
Apalaipi A Primary School,school,POINT (32.4207596 2.0947055)
Apele Primary School,school,POINT (32.4055092 1.9909719)
Atopi Good Parent's Primary School,school,POINT (32.4887778 1.9740224)
Atopi Primary School,school,POINT (32.4889136 1.9750379)
Awiri Primary School,school,POINT (32.4705482 2.0368881)
Chegere Primary School,school,POINT (32.5075276 2.0927424)
Chegere Secondary School,school,POINT (32.5190615 2.0974064)
Comprehensive Secondary School,school,POINT (32.5190355 1.9808376)
Genesis Primary School,school,POINT (32.4684909 1.9682972)
Good Parent's Nursery School,kindergarten,POINT (32.4606796 2.0325521)
Kidilani Primary School,school,POINT (32.384576 2.0538167)
Omolo Primary School,school,POINT (32.445139 2.0971417)
Alice Memorial Primary School,school,POINT (32.995205 0.1471116)
Aunt Rachel Nursery School,school,POINT (32.9718846 0.170912)
Bukaya Mabira Primary School,school,POINT (32.9535016 0.1388311)
Bukenya Parents Primary School,school,POINT (32.9677167 0.1667407)
Christ The King Primary School,school,POINT (33.0435468 0.146827)
Gaba Bright Academy,school,POINT (32.9473958 0.1108533)
Gaba Bright Academy,school,POINT (32.9494703 0.1110124)
Gara Memorial Secondary School,school,POINT (32.981958 0.1615455)
God Is Able Junior School,school,POINT (32.9395824 0.1633215)
Kigugo Hope Primary School,school,POINT (32.9069325 0.1652857)
Kikaja Primary School,school,POINT (32.9178406 0.1673237)
Kimbugu Nursery School,school,POINT (32.9637527 0.1702243)
Kisugula Moselene Primary School,school,POINT (32.9127419 0.1151446)
Kiwungi Nursery School,school,POINT (33.0329167 0.1698116)
Kiwungi Primary School,school,POINT (33.0266997 0.1724506)
Lubumba Church of Uganda Primary School,school,POINT (33.0164553 0.1734657)
Lukka Primary School,school,POINT (32.9529969 0.1720038)
Lukubo Church of Uganda Primary School,school,POINT (32.9291158 0.122017)
Najunju Primary School,school,POINT (33.008617 0.1409373)
Nambeta Primary School,school,POINT (32.9720024 0.1051929)
Namukuma Modern Hill Primary School,school,POINT (32.936719 0.1734942)
Namusanga Primary School,school,POINT (32.9137963 0.1479162)
Stanatoli Primary School,school,POINT (32.8909602 0.1149382)
Sangi Primary School,school,POINT (32.9081039 0.0955249)
,school,POINT (32.9179911 0.0082631)
,school,POINT (32.9409629 0.0129597)
Sepiliyalule Nursery School,school,POINT (32.9680581 0.1672706)
Senyi Saint Peter's Primary School,school,POINT (33.0456486 0.1506402)
Ssi Primary School,school,POINT (32.9710605 0.1659693)
Victoria Senior Secondary School School,school,POINT (32.9675415 0.1739943)
Zinunula Primary School,school,POINT (32.9467458 0.1705165)
Zitwe Primary School,school,POINT (32.958813 0.1189451)
Abu Fatima Nursery School,school,POINT (32.6105981 -0.3232131)
Jaana Primary School,school,POINT (32.5793569 -0.2299492)
Kikku Nursery School,school,POINT (32.569903 -0.2277686)
Bigodi Progressive Nursery And Primary School,school,POINT (30.4094539 0.399404)
Bigodi Secondary School,school,POINT (30.4101039 0.3990477)
Bigodi Tourism And Hotel Training Institute,school,POINT (30.409999 0.4058356)
Bright Star Secondary School,school,POINT (30.2508686 0.4200095)
Businge Nursery School,kindergarten,POINT (30.2980675 0.4182155)
Crane Star Secondary School,school,POINT (30.2965902 0.5023943)
Early Childhood Development Centre Kyantambara,kindergarten,POINT (30.3158933 0.498139)
Good Hope Nursery School,kindergarten,POINT (30.2448308 0.5119109)
Good Shepherd School,school,POINT (30.2449186 0.496348)
Green Valley Nursery School,kindergarten,POINT (30.2702556 0.4874336)
Iruhuura Primary School,school,POINT (30.306562 0.4608427)
Iruhuura Technical School,school,POINT (30.3086632 0.4625709)
Kakogo Primary School,school,POINT (30.2577116 0.3656407)
Kanyamukale Primary School,school,POINT (30.2365376 0.4042158)
Kasenda Primary School,school,POINT (30.2772784 0.441955)
Kitele Primary School,school,POINT (30.2680636 0.3987559)
Kitojo Nursery School,kindergarten,POINT (30.2863062 0.4086886)
Kiyombya Primary School,school,POINT (30.2409187 0.5151569)
Kyakagunga Primary School,school,POINT (30.4096458 0.3750802)
Kyantambara Primary School,school,POINT (30.3059381 0.4992423)
Kyeya Primary School,school,POINT (30.2350251 0.4578327)
Little Angels Nursery School,kindergarten,POINT (30.3236098 0.4780536)
Maria Prean Nursery and Primary School,school,POINT (30.2806081 0.4422916)
