,camp_signed,camp_abs,noncamp_signed,noncamp_abs
dist_nearest_kindergarten_m,-1.186237291451529e-07,0.0031039633985594233,-0.002035137125320433,0.030045427011876978
exp_total,0.003005424125151297,0.009016234720475004,0.003493820411524493,0.02960407580582829
dist_nearest_prep_school_m,0.00247096881978792,0.013060958281413912,-0.0005944802478903921,0.026677445731252407
borrow_debt,-0.0023317981719188172,0.019132420614916195,-0.0011575192512538156,0.026380482230102774
dist_nearest_townhall_m,0.0009335644431755946,0.013182173805124339,0.0026513912094347993,0.025761761826004554
dependency_ratio,-0.005378946780710947,0.02272501480723839,-0.0019340354676160175,0.025158208669279775
dist_nearest_bureau_de_change_bank_m,-0.0003560403979146437,0.0016327107788211052,0.002145606802957183,0.023706593703643492
dist_nearest_restaurant_m,0.0003599053698735584,0.00472591901449673,0.0032167709626499223,0.02341521393409119
lon,-0.005804542410113782,0.01763773317504371,-0.00032822532646411954,0.02331077871214727
dist_nearest_doctors_m,0.0,0.0,0.0038773094840176374,0.022987030881599795
difficulty_walking,-0.002090258399068853,0.008670548105254229,0.0010853846920037195,0.022760537844591592
informal_site,0.0,0.0,-0.0006591719213347743,0.02169569364817691
dist_nearest_pub_m,-0.00142508409081222,0.010802245299286216,-0.0010609883329640772,0.02141239129074466
dist_nearest_police_m,0.0001602030979160426,0.0076092691596116105,0.002251217833416342,0.020994056506249796
dist_nearest_bank_m,-0.0010403249391842107,0.008136397793972737,-0.0007924071568834898,0.020455686525397775
dist_nearest_public_bookcase_m,-0.00031745756980522665,0.006263069530444086,0.0008212944630427697,0.02044829550557525
rent_exp_log,0.0,0.0,4.807485026015603e-05,0.020289413989154296
selling_assets,0.0008694572934254875,0.020200521455233413,0.00017120403350442563,0.009394176993666693
child_distress_number,-0.0007230877555884161,0.012960016097380431,0.0002998597820752875,0.020110702950901914
dist_nearest_school_m,-0.0003783062801928214,0.0025072738996650985,0.0020978521138020753,0.020091861733623876
difficulty_hearing,-0.004702228591252005,0.019946645411832033,0.0006825784208237894,0.013089620665652979
amenity_pub_within_5km,0.0,0.0,-0.0013255291397884273,0.019567579725219296
dist_nearest_shelter_m,2.1482732227082097e-05,0.003070520644447235,-0.001722508498813338,0.019532452641717088
amenity_refugee_site_within_2km,-0.00181137603698943,0.019420651577213375,0.0,0.0
child_work_type,0.004608000277973581,0.019375494907005155,-0.0012917113754629067,0.007653271127860298
displace_status,0.0,0.0,-0.0008679875018128043,0.019357190394238034
