,unified_signed,unified_abs
inv_dist_nearest_pub_m,0.00032822943476825604,0.0014803205502162287
inv_dist_nearest_fire_station_m,0.0002630398957639578,0.001474203544305583
inv_dist_nearest_university_m,-0.00032687607406316926,0.001434717859029455
amenity_college_within_5km,-0.000269442194774131,0.0014139550646070469
gauss_dist_nearest_clinic_m,-1.4281716520697603e-05,0.001384231216459574
log_dist_nearest_pharmacy_m,0.00023117049090529718,0.001362494969619606
log_dist_nearest_university_m,-0.00017181197781849586,0.0013569446155043488
gauss_dist_nearest_school_m,0.0002368480385671491,0.0012590325121559771
log_dist_nearest_bank_m,-4.631192024330699e-05,0.0012291985467018404
gauss_dist_nearest_bank_m,0.00012094774257718853,0.0011372722184255478
amenity_kindergarten_within_2km,-0.00046238721409756013,0.0011372066327049112
log_dist_nearest_cinema_m,-0.0002607490835448863,0.0011275576928603576
